Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter
kdpFABC	[kdpFABC 724,407 &larr; 728,849]	-	kdpFp	[kdpFp 728,849]
yiaU	[yiaU 3,751,992 &rarr; 3,752,966]	+		
gspAB	[gspAB 3,453,508 &larr; 3,455,519]	-	gspAp1	[gspAp1 3,455,519]
gltA	[gltA 753,126 &larr; 754,670]	-	gltAp2	[gltAp2 754,670]
rpmE	[rpmE 4,126,908 &rarr; 4,127,262]	+	rpmEp2	[rpmEp2 4,126,908]
lysU	[lysU 4,353,200 &larr; 4,354,797]	-	lysUp2	[lysUp2 4,354,797]
glpR	[glpR 3,559,754 &larr; 3,560,891]	-	glpRp1	[glpRp1 3,560,891]
mog	[mog 9,306 &rarr; 9,893]	+		
yjhIHG	[yjhIHG 4,522,127 &larr; 4,525,888]	-	yjhIp	[yjhIp 4,525,888]
rhsA-yibA	[rhsA-yibA 3,762,183 &rarr; 3,767,179]	+		
mdoGH	[mdoGH 1,109,257 &rarr; 1,113,560]	+	opgGp2	[opgGp2 1,109,257]
yjgA	[yjgA 4,457,314 &larr; 4,457,865]	-		
yfcZ	[yfcZ 2,460,650 &larr; 2,460,979]	-	yfcZp	[yfcZp 2,460,979]
prpR	[prpR 346,857 &larr; 348,471]	-	prpRp	[prpRp 348,471]
yddLKJ	[yddLKJ 1,544,384 &larr; 1,546,028]	-		
rna	[rna 644,197 &larr; 645,034]	-	rnap	[rnap 645,034]
yjfKLMC	[yjfKLMC 4,411,272 &rarr; 4,414,191]	+	yjfKp	[yjfKp NIL &rarr; NIL]
srkA-dsbA	[srkA-dsbA 4,042,342 &rarr; 4,044,044]	+	srkAp	[srkAp 4,042,391]
ftsB	[ftsB 2,872,509 &larr; 2,872,820]	-		
yfhH	[yfhH 2,698,759 &rarr; 2,699,607]	+		
thrW	[thrW 262,775 &rarr; 262,946]	+	thrWp	[thrWp 262,841]
proQ-prc	[proQ-prc 1,912,768 &larr; 1,915,534]	-		
accBC	[accBC 3,405,172 &rarr; 3,407,302]	+	accBp2	[accBp2 3,405,172]
ryhB	[ryhB 3,580,922 &larr; 3,581,016]	-	yhhXp5	[yhhXp5 3,581,016]
livJ	[livJ 3,598,555 &larr; 3,599,762]	-	livJp	[livJp 3,599,762]
clpPX	[clpPX 456,577 &rarr; 458,755]	+	clpPp1	[clpPp1 456,577]
yqjF	[yqjF 3,250,562 &rarr; 3,250,954]	+		
pstB-phoU	[pstB-phoU 3,906,853 &larr; 3,908,556]	-	pstBp1	[pstBp1 3,908,556]
ldrD	[ldrD 3,699,899 &larr; 3,700,272]	-	ldrDp	[ldrDp 3,700,272]
mepS	[mepS 2,269,811 &rarr; 2,270,545]	+	mepSp2	[mepSp2 2,269,811]
mokC-hokC	[mokC-hokC 16,751 &larr; 16,960]	-		
ycaC	[ycaC 944,931 &larr; 945,557]	-		
ebgAC	[ebgAC 3,222,551 &rarr; 3,226,171]	+	ebgAp	[ebgAp 3,222,551]
yajD	[yajD 430,605 &rarr; 430,952]	+		
sdiA	[sdiA 1,996,110 &larr; 1,996,857]	-	sdiAp4	[sdiAp4 1,996,857]
ydfG	[ydfG 1,627,491 &rarr; 1,628,263]	+	ydfGp	[ydfGp 1,627,491]
casABCDE12	[casABCDE12 2,878,569 &larr; 2,884,319]	-	casAp	[casAp 2,884,319]
marRAB	[marRAB 1,619,012 &rarr; 1,620,207]	+	marRp	[marRp 1,619,093]
gadE-mdtEF	[gadE-mdtEF 3,658,062 &rarr; 3,663,527]	+	gadEp4	[gadEp4 3,658,062]
rrlE-rrfE	[rrlE-rrfE 4,210,013 &rarr; 4,213,209]	+	rrlEp	[rrlEp NIL &rarr; NIL]
yigI	[yigI 4,004,230 &larr; 4,004,724]	-	yigIp	[yigIp 4,004,724]
xerD-dsbC-recJ	[xerD-dsbC-recJ 3,036,373 &larr; 3,039,851]	-	xerDp2	[xerDp2 3,039,851]
speF-potE	[speF-potE 716,946 &larr; 720,822]	-		
mutS	[mutS 2,857,019 &rarr; 2,859,654]	+	mutSp	[mutSp 2,857,019]
yjdF	[yjdF 4,344,929 &larr; 4,345,558]	-		
yhhS	[yhhS 3,610,516 &larr; 3,611,733]	-		
priA	[priA 4,124,612 &larr; 4,126,810]	-		
fimZ	[fimZ 563,848 &larr; 564,480]	-		
dolP	[dolP 3,296,349 &rarr; 3,296,984]	+	dolPp1	[dolPp1 3,296,349]
metF	[metF 4,132,537 &rarr; 4,133,506]	+	metFp	[metFp 4,132,546]
racC	[racC 1,417,488 &larr; 1,417,763]	-		
tfaS	[tfaS 2,470,803 &rarr; 2,471,105]	+		
ydeTSR	[ydeTSR 1,587,793 &larr; 1,590,001]	-		
pyrC	[pyrC 1,121,561 &larr; 1,122,643]	-	pyrCp	[pyrCp 1,122,643]
mreBCD	[mreBCD 3,398,387 &larr; 3,401,129]	-	mreBp1	[mreBp1 3,401,129]
queA	[queA 424,927 &rarr; 426,081]	+	queAp	[queAp 424,985]
aceEF	[aceEF 122,969 &rarr; 127,619]	+	aceEp1	[aceEp1 122,969]
yfiC	[yfiC 2,712,027 &larr; 2,712,764]	-		
yoaI	[yoaI 1,874,078 &larr; 1,874,182]	-		
dnaTC	[dnaTC 4,600,139 &larr; 4,601,615]	-	dnaTp	[dnaTp 4,601,615]
treR	[treR 4,466,284 &larr; 4,467,347]	-	treRp4	[treRp4 4,467,347]
dnaAN-recF	[dnaAN-recF 3,880,148 &larr; 3,883,882]	-	dnaAp2	[dnaAp2 3,883,882]
hicAB	[hicAB 1,509,275 &rarr; 1,509,924]	+	hicAp2	[hicAp2 1,509,275]
rnt-lhr	[rnt-lhr 1,728,320 &rarr; 1,733,740]	+	rntp	[rntp 1,728,320]
dtpB	[dtpB 3,640,862 &rarr; 3,642,331]	+		
rnlB	[rnlB 2,766,860 &rarr; 2,767,355]	+	rnlBp2	[rnlBp2 2,766,860]
tilS	[tilS 212,331 &rarr; 213,629]	+		
yccX	[yccX 1,030,064 &rarr; 1,030,342]	+		
hybOABCDEFG	[hybOABCDEFG 3,139,716 &larr; 3,146,363]	-	hybOp1	[hybOp1 3,146,363]
yhhZ-yrhA-insA6AB6B6	[yhhZ-yrhA-insA6AB6B6 3,581,863 &rarr; 3,584,309]	+		
rfaYZ	[rfaYZ 3,799,345 &larr; 3,801,136]	-	waaYp	[waaYp 3,801,136]
ygbA	[ygbA 2,856,453 &larr; 2,856,828]	-	ygbAp	[ygbAp 2,856,828]
ahpF	[ahpF 639,002 &rarr; 641,318]	+	ahpFp	[ahpFp 639,002]
yqeA	[yqeA 3,011,461 &rarr; 3,012,393]	+		
yeaO	[yeaO 1,876,909 &rarr; 1,877,256]	+		
malQ	[malQ 3,547,986 &larr; 3,550,399]	-	malQp	[malQp 3,550,399]
yfjPQ	[yfjPQ 2,767,710 &rarr; 2,769,486]	+		
dnaN-recF	[dnaN-recF 3,880,148 &larr; 3,882,733]	-	dnaNp1	[dnaNp1 3,882,733]
rspA-rspB	[rspA-rspB 1,652,896 &larr; 1,655,171]	-	rspAp	[rspAp 1,655,171]
rhaT	[rhaT 4,099,491 &larr; 4,100,566]	-	rhaTp	[rhaTp 4,100,566]
trmC	[trmC 2,441,764 &rarr; 2,443,770]	+		
ycgI	[ycgI 1,223,564 &rarr; 1,223,907]	+		
agrA	[agrA 3,648,063 &rarr; 3,648,144]	+	agrAp	[agrAp 3,648,063]
allS	[allS 531,295 &larr; 532,300]	-	allSp	[allSp 532,300]
rhsD-ybbC-ylbH-ybbD	[rhsD-ybbC-ylbH-ybbD 523,261 &rarr; 529,130]	+		
entCEBA-ybdB	[entCEBA-ybdB 624,563 &rarr; 629,713]	+	entCp	[entCp 624,831]
glpGR	[glpGR 3,559,754 &larr; 3,561,480]	-	glpGp	[glpGp 3,561,480]
glnB	[glnB 2,687,070 &larr; 2,687,503]	-	glnBp2	[glnBp2 2,687,503]
clpPX	[clpPX 456,605 &rarr; 458,755]	+	clpPp3	[clpPp3 456,605]
yrfG-hslR	[yrfG-hslR 3,528,639 &rarr; 3,529,749]	+	yrfGp	[yrfGp NIL &rarr; NIL]
sppA	[sppA 1,848,837 &rarr; 1,850,738]	+		
stfZ	[stfZ 104,948 &larr; 105,499]	-	stfZp3	[stfZp3 105,499]
dinI	[dinI 1,121,242 &larr; 1,121,509]	-	dinIp	[dinIp 1,121,509]
bolA	[bolA 454,349 &rarr; 454,865]	+	bolAp2	[bolAp2 454,349]
fes-ybdZ-entF-fepE	[fes-ybdZ-entF-fepE 612,543 &rarr; 619,387]	+	fesp	[fesp 612,687]
fusA-tufA	[fusA-tufA 3,470,145 &larr; 3,473,685]	-	fusAp	[fusAp 3,473,685]
mutY-yggX-mltC	[mutY-yggX-mltC 3,102,988 &rarr; 3,105,512]	+	mutYp1	[mutYp1 3,102,988]
ynbABCD	[ynbABCD 1,477,597 &rarr; 1,482,201]	+	ynbAp	[ynbAp 1,477,597]
hisJQMP	[hisJQMP 2,423,736 &larr; 2,426,837]	-	hisJp	[hisJp 2,426,837]
infA-serW	[infA-serW 925,884 &larr; 926,443]	-		
asmA	[asmA 2,139,759 &larr; 2,141,612]	-		
smpB	[smpB 2,754,896 &rarr; 2,755,378]	+		
cspI	[cspI 1,638,455 &larr; 1,638,712]	-	cspIp2	[cspIp2 1,638,712]
ydcSTUV-patD	[ydcSTUV-patD 1,511,599 &rarr; 1,517,002]	+	ydcSp1	[ydcSp1 1,511,599]
lptB-rpoN-hpf-ptsN-yhbJ	[lptB-rpoN-hpf-ptsN-yhbJ 3,343,396 &rarr; 3,347,969]	+	lptBp	[lptBp 3,343,396]
sdiA	[sdiA 1,996,110 &larr; 1,996,867]	-	sdiAp3	[sdiAp3 1,996,867]
yeaD	[yeaD 1,863,850 &rarr; 1,864,734]	+		
osmY	[osmY 4,610,967 &rarr; 4,612,001]	+	osmYp	[osmYp 4,611,153]
grxA	[grxA 890,496 &larr; 890,776]	-	grxAp	[grxAp 890,776]
pheU	[pheU 4,362,509 &larr; 4,362,627]	-	pheUp	[pheUp 4,362,627]
ydgC	[ydgC 1,681,695 &larr; 1,682,030]	-		
yfbN	[yfbN 2,387,710 &larr; 2,388,426]	-		
adeQ	[adeQ 3,842,455 &larr; 3,843,789]	-		
yeaL	[yeaL 1,874,323 &rarr; 1,874,798]	+	yeaLp	[yeaLp 1,874,323]
pepA	[pepA 4,484,440 &larr; 4,486,139]	-	pepAp1	[pepAp1 4,486,139]
rsd	[rsd 4,196,332 &larr; 4,196,859]	-	rsdp2	[rsdp2 4,196,859]
ssrS-ygfA	[ssrS-ygfA 3,055,759 &rarr; 3,056,789]	+	ssrSp	[ssrSp 3,055,759]
yfgO	[yfgO 2,614,820 &larr; 2,615,881]	-		
oxyR	[oxyR 4,158,457 &rarr; 4,159,407]	+	oxyRp2	[oxyRp2 4,158,457]
tauABCD	[tauABCD 385,003 &rarr; 388,646]	+	tauAp	[tauAp 385,205]
allA	[allA 532,337 &rarr; 532,933]	+	allAp	[allAp 532,390]
ydgK-rsxABCDGE-nth	[ydgK-rsxABCDGE-nth 1,705,207 &rarr; 1,712,158]	+	ydgKp	[ydgKp 1,705,207]
uhpABC	[uhpABC 3,847,305 &larr; 3,850,726]	-		
ruvAB	[ruvAB 1,944,219 &larr; 1,946,024]	-	ruvAp1	[ruvAp1 1,946,024]
yggN	[yggN 3,100,904 &larr; 3,101,640]	-	yggNp2b	[yggNp2b 3,101,640]
astCADBE	[astCADBE 1,825,955 &larr; 1,832,013]	-	astCp1	[astCp1 1,832,013]
hyuA	[hyuA 3,010,028 &rarr; 3,011,413]	+		
lpp	[lpp 1,757,296 &rarr; 1,757,657]	+	lppp2	[lppp2 1,757,296]
yfeKS	[yfeKS 2,537,315 &rarr; 2,538,483]	+	yfeKp	[yfeKp 2,537,315]
ypdJ	[ypdJ 2,476,094 &rarr; 2,476,234]	+		
flgAMN	[flgAMN 1,129,414 &larr; 1,130,885]	-	flgAp	[flgAp 1,130,885]
queD	[queD 2,892,214 &rarr; 2,892,579]	+		
caiF	[caiF 34,162 &rarr; 34,695]	+	caiFp	[caiFp 34,218]
ftsQAZ	[ftsQAZ 102,703 &rarr; 106,456]	+	ftsQp	[ftsQp 102,867]
yebW	[yebW 1,922,121 &rarr; 1,922,312]	+		
rluE-nudJ	[rluE-nudJ 1,193,827 &larr; 1,194,951]	-		
yfcC	[yfcC 2,417,081 &rarr; 2,418,601]	+		
nemA	[nemA 1,726,659 &rarr; 1,727,756]	+		
ybhP-clsB-ybhN	[ybhP-clsB-ybhN 821,542 &larr; 824,497]	-		
moeAB	[moeAB 864,380 &larr; 866,394]	-	moeAp	[moeAp 866,394]
yhhI	[yhhI 3,624,378 &rarr; 3,625,514]	+		
yqgB	[yqgB 3,085,920 &larr; 3,086,051]	-		
csrD	[csrD 3,401,392 &larr; 3,403,332]	-		
waaA	[waaA 3,808,516 &rarr; 3,809,817]	+	waaAp1	[waaAp1 3,808,516]
cvrA	[cvrA 1,240,335 &larr; 1,242,071]	-		
guaC	[guaC 113,444 &rarr; 114,487]	+		
acrD	[acrD 2,587,550 &rarr; 2,590,708]	+	acrDp2	[acrDp2 2,587,550]
rcsDB	[rcsDB 2,313,452 &rarr; 2,316,827]	+	rcsDp	[rcsDp 2,313,452]
ygbJK	[ygbJK 2,861,430 &rarr; 2,863,501]	+		
yaeQ-arfB-nlpE	[yaeQ-arfB-nlpE 214,280 &rarr; 215,979]	+	yaeQp	[yaeQp 214,280]
greA	[greA 3,328,239 &larr; 3,328,853]	-	greAp2	[greAp2 3,328,853]
gadBC	[gadBC 1,568,904 &larr; 1,572,072]	-	gadBp	[gadBp 1,572,072]
lpxC	[lpxC 106,508 &rarr; 107,544]	+	lpxCp1	[lpxCp1 106,508]
hdeD	[hdeD 3,656,960 &rarr; 3,657,567]	+	hdeDp2	[hdeDp2 3,656,960]
ldhA	[ldhA 1,441,854 &larr; 1,442,915]	-	ldhAp	[ldhAp 1,442,915]
putP	[putP 1,079,185 &rarr; 1,080,838]	+	putPp3	[putPp3 1,079,185]
yjbLM	[yjbLM 4,260,321 &rarr; 4,261,306]	+		
pliG	[pliG 1,227,071 &larr; 1,227,472]	-		
pgk-fbaA	[pgk-fbaA 3,070,165 &larr; 3,072,648]	-	pgkp2	[pgkp2 3,072,648]
sibD	[sibD 3,194,721 &larr; 3,194,865]	-	sibDp	[sibDp 3,194,865]
tonB	[tonB 1,311,029 &rarr; 1,311,846]	+	tonBp	[tonBp 1,311,054]
sad-glsB-yneG	[sad-glsB-yneG 1,611,966 &larr; 1,614,703]	-		
msrA	[msrA 4,441,538 &larr; 4,442,261]	-	msrAp	[msrAp 4,442,261]
abgR	[abgR 1,404,741 &rarr; 1,405,693]	+		
ybhK	[ybhK 815,739 &larr; 816,647]	-		
mutY-yggX	[mutY-yggX 3,102,911 &rarr; 3,104,368]	+	mutYp2	[mutYp2 3,102,911]
gfcE-etp-etk	[gfcE-etp-etk 1,042,030 &larr; 1,045,803]	-		
yceB	[yceB 1,122,675 &larr; 1,123,273]	-		
dnaN-recF	[dnaN-recF 3,880,148 &larr; 3,882,562]	-	dnaNp3	[dnaNp3 3,882,562]
hcaEFCBD	[hcaEFCBD 2,668,940 &rarr; 2,673,249]	+	hcaEp	[hcaEp 2,668,982]
yrdA	[yrdA 3,429,206 &rarr; 3,429,790]	+	yrdAp	[yrdAp NIL &rarr; NIL]
alr	[alr 4,265,652 &rarr; 4,266,861]	+	alrp2	[alrp2 4,265,652]
putP	[putP 1,079,179 &rarr; 1,080,838]	+	putPp2	[putPp2 1,079,179]
cyaA	[cyaA 3,990,790 &rarr; 3,993,699]	+	cyaAp1	[cyaAp1 3,990,790]
yibD	[yibD 3,789,047 &larr; 3,790,149]	-	yibDp1	[yibDp1 3,790,149]
ybdK	[ybdK 606,265 &larr; 607,383]	-		
hcp-hcr	[hcp-hcr 911,182 &larr; 913,845]	-	hcpp1	[hcpp1 913,845]
ybiN	[ybiN 842,332 &rarr; 843,258]	+		
ygfB-pepP-ubiHI	[ygfB-pepP-ubiHI 3,051,048 &larr; 3,055,473]	-	ygfBp	[ygfBp 3,055,473]
ssrS	[ssrS 3,055,759 &rarr; 3,056,283]	+	ssrSp2	[ssrSp2 3,055,759]
ybcW	[ybcW 579,880 &rarr; 580,086]	+		
fumC	[fumC 1,685,185 &larr; 1,686,709]	-	fumCp2	[fumCp2 1,686,709]
dhaM	[dhaM 1,247,696 &larr; 1,249,144]	-	dhaMp	[dhaMp NIL &larr; NIL]
groL	[groL 4,370,783 &rarr; 4,372,671]	+	groLp1	[groLp1 4,370,783]
cbrB	[cbrB 3,897,506 &rarr; 3,897,973]	+		
yjiS	[yjiS 4,571,751 &rarr; 4,571,915]	+		
fucO	[fucO 2,931,865 &larr; 2,933,223]	-	fucOp	[fucOp 2,933,223]
groL	[groL 4,370,873 &rarr; 4,372,671]	+	groLp2	[groLp2 4,370,873]
ppiB-lpxH	[ppiB-lpxH 553,218 &larr; 554,437]	-		
yfcG	[yfcG 2,420,621 &rarr; 2,421,268]	+		
sodC	[sodC 1,724,134 &larr; 1,724,679]	-	sodCp	[sodCp 1,724,679]
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	[rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 90,010 &rarr; 107,474]	+	rsmHp1	[rsmHp1 90,010]
cra	[cra 87,947 &rarr; 89,032]	+	fruRp8	[fruRp8 87,947]
slyD	[slyD 3,477,907 &larr; 3,478,497]	-		
ygjJK	[ygjJK 3,227,801 &rarr; 3,231,239]	+		
hns	[hns 1,292,461 &larr; 1,292,958]	-	hnsp	[hnsp 1,292,958]
yghED	[yghED 3,110,590 &larr; 3,111,988]	-		
moaABCDE	[moaABCDE 816,856 &rarr; 819,747]	+	moaAp2	[moaAp2 816,914]
yjbD	[yjbD 4,231,359 &larr; 4,231,631]	-		
ytfB	[ytfB 4,428,079 &larr; 4,428,819]	-	ytfBp	[ytfBp 4,428,819]
tpiA	[tpiA 4,110,740 &larr; 4,111,569]	-	tpiAp2	[tpiAp2 4,111,569]
mokB	[mokB 1,491,962 &larr; 1,492,129]	-		
mtfA	[mtfA 2,043,651 &rarr; 2,044,448]	+		
sdsR	[sdsR 1,923,104 &larr; 1,923,207]	-	sdsRp	[sdsRp 1,923,207]
cusRS	[cusRS 593,328 &larr; 595,462]	-	cusRp	[cusRp 595,462]
insA3B3AB3	[insA3B3AB3 290,649 &larr; 291,346]	-		
cysG	[cysG 3,497,754 &rarr; 3,499,201]	+	cysGp1	[cysGp1 3,497,754]
tolB-pal-ybgF	[tolB-pal-ybgF 777,740 &rarr; 780,389]	+		
rep	[rep 3,960,647 &rarr; 3,962,698]	+	repp	[repp 3,960,647]
plaR	[plaR 3,741,684 &larr; 3,742,618]	-	plaRp	[plaRp 3,742,618]
rpoS	[rpoS 2,866,559 &larr; 2,867,607]	-	rpoSp2	[rpoSp2 2,867,607]
mnt-btuF-yadS	[mnt-btuF-yadS 177,001 &larr; 179,183]	-	mtnp2	[mtnp2 179,183]
sucABCD-sdhX	[sucABCD-sdhX 758,586 &rarr; 765,150]	+	sucAp	[sucAp 758,586]
dsbD-yjdC	[dsbD-yjdC 4,362,733 &larr; 4,365,042]	-		
rpsI	[rpsI 3,377,756 &larr; 3,378,207]	-		
frlR	[frlR 3,504,043 &rarr; 3,504,783]	+	frlRp1	[frlRp1 3,504,043]
eno	[eno 2,906,643 &larr; 2,908,152]	-	enop7	[enop7 2,908,152]
ybgQPO	[ybgQPO 747,921 &larr; 752,169]	-		
hdeAB-yhiD	[hdeAB-yhiD 3,655,255 &larr; 3,656,791]	-	hdeAp	[hdeAp 3,656,791]
alsRBACE	[alsRBACE 4,307,783 &larr; 4,313,137]	-	alsRp2	[alsRp2 4,313,137]
yfcD	[yfcD 2,418,634 &larr; 2,419,206]	-	yfcDp	[yfcDp NIL &larr; NIL]
yehLMPQ	[yehLMPQ 2,204,596 &rarr; 2,210,944]	+		
eda	[eda 1,932,085 &larr; 1,933,109]	-	edap1	[edap1 1,933,109]
sfmCD	[sfmCD 558,974 &rarr; 562,300]	+		
ycjY	[ycjY 1,390,933 &larr; 1,392,072]	-	ycjYp6	[ycjYp6 1,392,072]
pheV	[pheV 3,110,290 &rarr; 3,110,477]	+	pheVp	[pheVp 3,110,365]
yniA	[yniA 1,807,796 &rarr; 1,808,656]	+		
rhtA	[rhtA 849,210 &larr; 850,097]	-		
dcuD	[dcuD 3,374,539 &rarr; 3,376,236]	+	dcuDp2	[dcuDp2 3,374,583]
rcnR	[rcnR 2,185,524 &larr; 2,185,903]	-	rcnRp	[rcnRp 2,185,903]
zapE	[zapE 3,378,870 &larr; 3,379,997]	-		
feaR	[feaR 1,446,378 &larr; 1,447,367]	-	feaRp	[feaRp 1,447,367]
metG	[metG 2,193,758 &rarr; 2,196,366]	+	metGp2	[metGp2 2,193,758]
holC-valS	[holC-valS 4,480,982 &larr; 4,484,280]	-	holCp	[holCp 4,484,273]
garR	[garR 3,271,867 &larr; 3,272,820]	-	garRp	[garRp 3,272,820]
rfaDFCL	[rfaDFCL 3,793,970 &rarr; 3,798,207]	+	rfaDp4	[rfaDp4 3,793,970]
cspE	[cspE 657,250 &rarr; 657,501]	+	cspEp2	[cspEp2 657,250]
yidE	[yidE 3,864,612 &larr; 3,866,273]	-		
ibsC	[ibsC 3,056,890 &larr; 3,057,009]	-	ibsCp	[ibsCp 3,057,009]
psiE	[psiE 4,240,247 &rarr; 4,240,735]	+	psiEp	[psiEp 4,240,300]
pyrD	[pyrD 1,004,673 &rarr; 1,005,778]	+	pyrDp	[pyrDp 1,004,732]
yehF	[yehF 2,196,445 &rarr; 2,197,298]	+	yehFp	[yehFp 2,196,445]
dusC	[dusC 2,229,438 &larr; 2,230,395]	-	dusCp	[dusCp 2,230,395]
ilvIH	[ilvIH 85,453 &rarr; 87,848]	+	ilvIp3	[ilvIp3 85,453]
ybcN-ninE-ybcO-rusA-ylcG	[ybcN-ninE-ybcO-rusA-ylcG 572,466 &rarr; 573,870]	+		
yddH	[yddH 1,533,282 &larr; 1,533,851]	-		
yoaA	[yoaA 1,891,325 &larr; 1,893,235]	-		
ftnA	[ftnA 1,988,682 &rarr; 1,989,213]	+	ftnAp	[ftnAp 1,988,682]
suhB	[suhB 2,663,442 &rarr; 2,664,245]	+		
stfR-tfaR	[stfR-tfaR 1,428,796 &rarr; 1,432,986]	+		
ygeF	[ygeF 2,990,554 &rarr; 2,991,043]	+		
panE-yajL	[panE-yajL 443,051 &larr; 444,515]	-		
nlpD-rpoS	[nlpD-rpoS 2,866,559 &larr; 2,868,782]	-	nlpDp2	[nlpDp2 2,868,782]
ybeD	[ybeD 662,379 &larr; 662,642]	-		
pykA	[pykA 1,937,494 &rarr; 1,939,091]	+	pykAp2	[pykAp2 1,937,494]
ygjQ	[ygjQ 3,236,540 &rarr; 3,237,232]	+		
sraG	[sraG 3,311,183 &rarr; 3,311,398]	+	sraGp	[sraGp 3,311,183]
yjaG	[yjaG 4,199,504 &rarr; 4,200,094]	+		
gstB	[gstB 879,854 &larr; 880,519]	-	gstBp	[gstBp 880,519]
sbp	[sbp 4,108,834 &rarr; 4,109,884]	+		
acs-yjcHG	[acs-yjcHG 4,283,253 &larr; 4,287,391]	-	acsp2	[acsp2 4,287,391]
ycaR-kdsB	[ycaR-kdsB 970,642 &rarr; 971,598]	+	ycaRp	[ycaRp 970,642]
yghO	[yghO 3,129,043 &larr; 3,130,215]	-		
yihPO	[yihPO 4,064,363 &larr; 4,067,194]	-		
mlrA	[mlrA 2,214,840 &rarr; 2,215,597]	+	mlrAp2	[mlrAp2 2,214,840]
yphCB	[yphCB 2,673,816 &larr; 2,675,761]	-		
dusA	[dusA 4,261,669 &rarr; 4,262,706]	+		
hokA	[hokA 3,720,448 &larr; 3,720,600]	-		
ampDE	[ampDE 118,703 &rarr; 120,135]	+	ampD	[ampD 118,703]
ypjA	[ypjA 2,778,146 &larr; 2,782,726]	-		
cbrA	[cbrA 3,869,377 &rarr; 3,870,441]	+		
mlrA	[mlrA 2,214,840 &rarr; 2,215,597]	+	mlrAp	[mlrAp 2,214,840]
flgBCDEFGHIJ	[flgBCDEFGHIJ 1,130,938 &rarr; 1,138,312]	+	flgBp	[flgBp 1,130,993]
hypF	[hypF 2,835,173 &larr; 2,838,014]	-	hypFp2	[hypFp2 2,838,014]
serW	[serW 925,843 &larr; 926,006]	-	serWp2	[serWp2 926,006]
pqqL	[pqqL 1,572,407 &larr; 1,575,202]	-		
dnaN-recF	[dnaN-recF 3,880,148 &larr; 3,882,590]	-	dnaNp6	[dnaNp6 3,882,590]
gadAX	[gadAX 3,664,915 &larr; 3,667,607]	-	gadAp2	[gadAp2 3,667,607]
gapA	[gapA 1,862,555 &rarr; 1,863,766]	+	gapAp3	[gapAp3 1,862,597]
ubiEJB	[ubiEJB 4,018,855 &rarr; 4,021,866]	+		
fdnGHI	[fdnGHI 1,547,248 &rarr; 1,551,991]	+	fdnGp	[fdnGp 1,547,372]
ompT	[ompT 584,680 &larr; 585,665]	-	ompTp	[ompTp 585,665]
ygiL	[ygiL 3,185,414 &rarr; 3,185,965]	+		
pdxA-rsmA	[pdxA-rsmA 51,609 &larr; 53,446]	-	pdxAp	[pdxAp NIL &larr; NIL]
rplU-rpmA	[rplU-rpmA 3,332,862 &larr; 3,333,516]	-	rplUp	[rplUp 3,333,516]
cysK	[cysK 2,532,344 &rarr; 2,533,424]	+	cysKp2	[cysKp2 2,532,344]
ubiT-yhbS	[ubiT-yhbS 3,300,255 &larr; 3,301,301]	-	ubiTp2	[ubiTp2 3,301,301]
motRAB-cheAW	[motRAB-cheAW 1,972,771 &larr; 1,977,302]	-	motRp	[motRp 1,977,302]
rsd	[rsd 4,196,332 &larr; 4,196,954]	-	rsdp1	[rsdp1 4,196,954]
ydeO	[ydeO 1,582,926 &larr; 1,583,717]	-	ydeOp	[ydeOp NIL &larr; NIL]
panD	[panD 146,314 &larr; 146,745]	-	panDp1	[panDp1 146,745]
yccM	[yccM 1,052,289 &larr; 1,053,362]	-		
yjcF	[yjcF 4,281,783 &larr; 4,283,075]	-		
ygcS	[ygcS 2,896,533 &larr; 2,897,870]	-		
ilvIH	[ilvIH 85,540 &rarr; 87,848]	+	ilvIp2	[ilvIp2 85,540]
ymgF	[ymgF 1,218,983 &rarr; 1,219,201]	+		
ydeE	[ydeE 1,621,332 &rarr; 1,622,519]	+		
cysJIH	[cysJIH 2,887,578 &larr; 2,891,964]	-	cysJp	[cysJp 2,891,964]
yehR	[yehR 2,211,195 &rarr; 2,211,686]	+	yehRp	[yehRp NIL &rarr; NIL]
nirBDC-cysG	[nirBDC-cysG 3,493,690 &rarr; 3,499,201]	+	nirBp	[nirBp 3,493,987]
rpsMKD-rpoA-rplQ	[rpsMKD-rpoA-rplQ 3,439,581 &larr; 3,442,495]	-	rpsMp1	[rpsMp1 3,442,495]
yiiF	[yiiF 4,079,751 &rarr; 4,080,025]	+		
serC	[serC 957,579 &rarr; 958,741]	+	serCp2	[serCp2 957,579]
pabC-mltG-tmk-holB-ycfH	[pabC-mltG-tmk-holB-ycfH 1,153,300 &rarr; 1,157,574]	+		
glnHPQ	[glnHPQ 845,741 &larr; 848,198]	-	glnHp1	[glnHp1 848,198]
rpsU-dnaG-rpoD	[rpsU-dnaG-rpoD 3,210,646 &rarr; 3,214,962]	+	rpsUp1	[rpsUp1 3,210,646]
phoPQ	[phoPQ 1,188,316 &larr; 1,190,491]	-	phoPp3	[phoPp3 1,190,491]
ansB	[ansB 3,099,654 &larr; 3,100,790]	-	ansBp1	[ansBp1 3,100,790]
