Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter	Genes of transcription unit
yqjF	[yqjF 3,250,562 &rarr; 3,250,954]	+			yqjF
proP	[proP 4,330,284 &rarr; 4,332,004]	+	proPp2	[proPp2 4,330,407]	proP
yghED	[yghED 3,110,590 &larr; 3,111,988]	-			yghE // yghD
yraIJK	[yraIJK 3,288,090 &rarr; 3,292,432]	+			yraK // yraJ // yraI
hcp-hcr	[hcp-hcr 911,182 &larr; 914,129]	-	hcpp2	[hcpp2 914,129]	hcr // hcp
rmf	[rmf 1,015,650 &rarr; 1,015,924]	+	rmfp	[rmfp 1,015,650]	rmf
mdtQ	[mdtQ 2,227,323 &larr; 2,228,758]	-			mdtQ
yebW	[yebW 1,922,121 &rarr; 1,922,312]	+			yebW
mreBCD	[mreBCD 3,398,387 &larr; 3,401,193]	-	mreBp2	[mreBp2 3,401,193]	mreD // mreC // mreB
dtpB	[dtpB 3,640,862 &rarr; 3,642,331]	+			dtpB
treR	[treR 4,466,284 &larr; 4,467,347]	-	treRp4	[treRp4 4,467,347]	treR
trxA	[trxA 3,965,687 &rarr; 3,966,136]	+	trxAp2	[trxAp2 3,965,687]	trxA
ydhYVWXUT	[ydhYVWXUT 1,748,747 &larr; 1,754,642]	-	ydhYp	[ydhYp 1,754,642]	ydhT // ydhU // ydhX // ydhW // ydhV // ydhY
mlrA	[mlrA 2,214,840 &rarr; 2,215,597]	+	mlrAp2	[mlrAp2 2,214,840]	mlrA
lpxC	[lpxC 106,508 &rarr; 107,544]	+	lpxCp1	[lpxCp1 106,508]	lpxC
moeAB	[moeAB 864,380 &larr; 866,394]	-	moeAp	[moeAp 866,394]	moeB // moeA
ybhK	[ybhK 815,739 &larr; 816,647]	-			ybhK
ompL	[ompL 4,063,603 &larr; 4,064,295]	-			ompL
ampDE	[ampDE 118,703 &rarr; 120,135]	+	ampD	[ampD 118,703]	ampD // ampE
yadV-htrE	[yadV-htrE 152,829 &larr; 156,235]	-	yadVp1	[yadVp1 156,235]	htrE // yadV
yajD	[yajD 430,605 &rarr; 430,952]	+			yajD
yjfKLMC	[yjfKLMC 4,411,272 &rarr; 4,414,191]	+	yjfKp	[yjfKp NIL &rarr; NIL]	yjfC // yjfM // yjfL // yjfK
insK	[insK 3,721,065 &rarr; 3,722,049]	+	insKp	[insKp 3,721,065]	insK
uvrB	[uvrB 813,493 &rarr; 815,547]	+	uvrBp1	[uvrBp1 813,493]	uvrB
cvrA	[cvrA 1,240,335 &larr; 1,242,071]	-			cvrA
cspA	[cspA 3,719,889 &rarr; 3,720,313]	+	cspAp1	[cspAp1 3,719,889]	cspA
fre	[fre 4,026,443 &rarr; 4,027,228]	+	frep1	[frep1 4,026,443]	fre
hypBCDE-fhlA	[hypBCDE-fhlA 2,850,839 &rarr; 2,856,416]	+	hypBp	[hypBp 2,850,839]	fhlA // hypE // hypD // hypC // hypB
yffMN	[yffMN 2,561,368 &rarr; 2,561,993]	+			yffN // yffM
alr	[alr 4,265,652 &rarr; 4,266,861]	+	alrp2	[alrp2 4,265,652]	alr
surA-pdxA-rsmA-apaGH	[surA-pdxA-rsmA-apaGH 50,380 &larr; 54,732]	-	surAp	[surAp NIL &larr; NIL]	apaH // apaG // rsmA // pdxA // surA
waaA	[waaA 3,808,516 &rarr; 3,809,817]	+	waaAp1	[waaAp1 3,808,516]	waaA
ruvAB	[ruvAB 1,944,219 &larr; 1,946,024]	-	ruvAp1	[ruvAp1 1,946,024]	ruvB // ruvA
ybaZ	[ybaZ 475,982 &larr; 476,371]	-			ybaZ
yhhS	[yhhS 3,610,516 &larr; 3,611,733]	-			yhhS
yeaD	[yeaD 1,863,850 &rarr; 1,864,734]	+			yeaD
hokA	[hokA 3,720,448 &larr; 3,720,600]	-			hokA
ssrS-ygfA	[ssrS-ygfA 3,055,759 &rarr; 3,056,789]	+	ssrSp	[ssrSp 3,055,759]	fau // ssrS
speF-potE	[speF-potE 716,946 &larr; 720,822]	-			speFL // potE // speF
gadBC	[gadBC 1,568,904 &larr; 1,572,072]	-	gadBp	[gadBp 1,572,072]	gadC // gadB
greA	[greA 3,328,239 &larr; 3,328,853]	-	greAp2	[greAp2 3,328,853]	greA
glpR	[glpR 3,559,754 &larr; 3,560,891]	-	glpRp1	[glpRp1 3,560,891]	glpR
pyrD	[pyrD 1,004,673 &rarr; 1,005,778]	+	pyrDp	[pyrDp 1,004,732]	pyrD
ilvIH	[ilvIH 85,453 &rarr; 87,848]	+	ilvIp3	[ilvIp3 85,453]	ilvH // ilvI
sodC	[sodC 1,724,134 &larr; 1,724,679]	-	sodCp	[sodCp 1,724,679]	sodC
alsRBACE	[alsRBACE 4,307,783 &larr; 4,313,137]	-	alsRp2	[alsRp2 4,313,137]	alsE // alsC // alsA // alsB // alsR
ispG-sroE	[ispG-sroE 2,640,595 &larr; 2,641,804]	-			ispG // sroE
casABCDE12	[casABCDE12 2,878,569 &larr; 2,884,319]	-	casAp	[casAp 2,884,319]	casA // casB // casC // casD // casE // cas1 // cas2
yfcC	[yfcC 2,417,081 &rarr; 2,418,601]	+			yfcC
hyuA	[hyuA 3,010,028 &rarr; 3,011,413]	+			hyuA
frlR	[frlR 3,504,043 &rarr; 3,504,783]	+	frlRp1	[frlRp1 3,504,043]	frlR
rclABC	[rclABC 317,726 &larr; 320,215]	-	rclAp	[rclAp 320,215]	rclC // rclB // rclA
malI	[malI 1,698,136 &larr; 1,699,228]	-	malIp	[malIp 1,699,228]	malI
qmcA-ybbJ	[qmcA-ybbJ 514,401 &larr; 515,823]	-	qmcAp	[qmcAp 515,823]	qmcA // ybbJ
yccX	[yccX 1,030,064 &rarr; 1,030,342]	+			yccX
ylbG	[ylbG 529,645 &larr; 530,016]	-			ylbG
eno	[eno 2,906,643 &larr; 2,908,152]	-	enop7	[enop7 2,908,152]	eno
ysgA	[ysgA 4,015,354 &larr; 4,016,343]	-	ysgAp	[ysgAp 4,016,343]	ysgA
smg	[smg 3,431,991 &larr; 3,432,464]	-			smg
mpaA	[mpaA 1,389,870 &larr; 1,390,598]	-			mpaA
msrA	[msrA 4,441,538 &larr; 4,442,261]	-	msrAp	[msrAp 4,442,261]	msrA
pykA	[pykA 1,937,544 &rarr; 1,939,091]	+	pykAp	[pykAp 1,937,544]	pykA
mdoGH	[mdoGH 1,109,257 &rarr; 1,113,560]	+	opgGp2	[opgGp2 1,109,257]	opgH // opgG
nhoA	[nhoA 1,534,024 &rarr; 1,534,869]	+			nhoA
insA-7	[insA-7 4,518,527 &rarr; 4,518,802]	+			insA7
flgBCDEFGHIJ	[flgBCDEFGHIJ 1,130,938 &rarr; 1,138,312]	+	flgBp	[flgBp 1,130,993]	flgB // flgC // flgD // flgE // flgF // flgG // flgH // flgI // flgJ
rpsP-rimM-trmD-rplS	[rpsP-rimM-trmD-rplS 2,744,115 &larr; 2,746,254]	-	rpsPp	[rpsPp 2,746,254]	rplS // trmD // rimM // rpsP
flhDC	[flhDC 1,977,200 &larr; 1,978,577]	-	flhDp2	[flhDp2 1,978,577]	flhC // flhD
eda	[eda 1,932,085 &larr; 1,933,109]	-	edap1	[edap1 1,933,109]	eda
yfdGHI	[yfdGHI 2,467,855 &rarr; 2,470,462]	+			yfdI // yfdH // yfdG
yehF	[yehF 2,196,445 &rarr; 2,197,298]	+	yehFp	[yehFp 2,196,445]	yehF
yggI	[yggI 3,089,755 &rarr; 3,090,252]	+			yggI
putP	[putP 1,079,185 &rarr; 1,080,838]	+	putPp3	[putPp3 1,079,185]	putP
yqeA	[yqeA 3,011,461 &rarr; 3,012,393]	+			yqeA
ybcK	[ybcK 568,902 &rarr; 570,428]	+			ybcK
btuE	[btuE 1,793,558 &larr; 1,794,129]	-	btuEp2	[btuEp2 1,794,129]	btuE
lldPRD	[lldPRD 3,777,271 &rarr; 3,781,017]	+	lldPp	[lldPp 3,777,289]	lldD // lldR // lldP
ftsB	[ftsB 2,872,509 &larr; 2,872,820]	-			ftsB
dnaN-recF	[dnaN-recF 3,880,148 &larr; 3,882,590]	-	dnaNp2	[dnaNp2 3,882,590]	recF // dnaN
edd-eda	[edd-eda 1,932,085 &larr; 1,934,713]	-	eddp	[eddp 1,934,713]	eda // edd
rhtA	[rhtA 849,210 &larr; 850,097]	-			rhtA
ppiB-lpxH	[ppiB-lpxH 553,218 &larr; 554,437]	-			ppiB // lpxH
cbrB	[cbrB 3,897,506 &rarr; 3,897,973]	+			cbrB
rplKAJL-rpoBC	[rplKAJL-rpoBC 4,178,354 &rarr; 4,189,613]	+	rplKp	[rplKp 4,178,354]	rpoC // rpoB // rplL // rplJ // rplA // rplK
envY-ompT	[envY-ompT 584,680 &larr; 586,908]	-			ompT // envY
ryeA	[ryeA 1,923,064 &rarr; 1,923,337]	+	ryeAp	[ryeAp 1,923,064]	ryeA
bglGFB	[bglGFB 3,902,249 &larr; 3,906,697]	-	bglGp1	[bglGp1 3,906,697]	bglB // bglF // bglG
ydfG	[ydfG 1,627,491 &rarr; 1,628,263]	+	ydfGp	[ydfGp 1,627,491]	ydfG
osmF-yehYXW	[osmF-yehYXW 2,215,745 &larr; 2,219,523]	-	osmFp1	[osmFp1 2,219,523]	yehW // yehX // yehY // osmF
hybOABCDEFG	[hybOABCDEFG 3,139,716 &larr; 3,146,363]	-	hybOp1	[hybOp1 3,146,363]	hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA
efp	[efp 4,375,567 &rarr; 4,376,265]	+	efpp	[efpp 4,375,567]	efp
psiE	[psiE 4,240,247 &rarr; 4,240,735]	+	psiEp	[psiEp 4,240,300]	psiE
rpmE	[rpmE 4,126,908 &rarr; 4,127,262]	+	rpmEp2	[rpmEp2 4,126,908]	rpmE
yadV-htrE	[yadV-htrE 152,829 &larr; 156,214]	-	yadVp3	[yadVp3 156,214]	htrE // yadV
sppA	[sppA 1,848,837 &rarr; 1,850,738]	+			sppA
suhB	[suhB 2,663,442 &rarr; 2,664,245]	+			suhB
mog	[mog 9,306 &rarr; 9,893]	+			mog
ygbJK	[ygbJK 2,861,430 &rarr; 2,863,501]	+			ygbK // ygbJ
glnB	[glnB 2,687,070 &larr; 2,687,503]	-	glnBp2	[glnBp2 2,687,503]	glnB
gstB	[gstB 879,854 &larr; 880,519]	-	gstBp	[gstBp 880,519]	gstB
grcA	[grcA 2,716,066 &larr; 2,716,506]	-	grcAp2	[grcAp2 2,716,506]	grcA
yjiJ	[yjiJ 4,561,497 &larr; 4,562,675]	-			yjiJ
recG	[recG 3,825,210 &rarr; 3,827,291]	+			recG
hcaEFCBD	[hcaEFCBD 2,668,940 &rarr; 2,673,249]	+	hcaEp	[hcaEp 2,668,982]	hcaD // hcaB // hcaC // hcaF // hcaE
yfcG	[yfcG 2,420,621 &rarr; 2,421,268]	+			yfcG
psd-mscM	[psd-mscM 4,386,047 &larr; 4,390,638]	-	psdp	[psdp 4,390,638]	mscM // psd
lpp	[lpp 1,757,296 &rarr; 1,757,657]	+	lppp2	[lppp2 1,757,296]	lpp
plaR	[plaR 3,741,684 &larr; 3,742,618]	-	plaRp	[plaRp 3,742,618]	plaR
rpoH	[rpoH 3,599,887 &larr; 3,601,003]	-	rpoHp2	[rpoHp2 3,601,003]	rpoH
mreCD	[mreCD 3,398,387 &larr; 3,400,008]	-	mreCp	[mreCp NIL &larr; NIL]	mreD // mreC
ftsQAZ	[ftsQAZ 102,703 &rarr; 106,456]	+	ftsQp	[ftsQp 102,867]	ftsQ // ftsA // ftsZ
tonB	[tonB 1,311,029 &rarr; 1,311,846]	+	tonBp	[tonBp 1,311,054]	tonB
glpGR	[glpGR 3,559,754 &larr; 3,561,480]	-	glpGp	[glpGp 3,561,480]	glpR // glpG
ompC	[ompC 2,311,610 &larr; 2,312,864]	-	ompCp2	[ompCp2 2,312,864]	ompC
osmE	[osmE 1,821,865 &larr; 1,822,283]	-	osmEp2	[osmEp2 1,822,283]	osmE
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	[rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 90,010 &rarr; 107,474]	+	rsmHp1	[rsmHp1 90,010]	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH
ttdR	[ttdR 3,205,324 &larr; 3,206,380]	-	ttdRp	[ttdRp 3,206,380]	ttdR
abgR	[abgR 1,404,741 &rarr; 1,405,693]	+			abgR
adeQ	[adeQ 3,842,455 &larr; 3,843,789]	-			adeQ
flgAMN	[flgAMN 1,129,414 &larr; 1,130,885]	-	flgAp	[flgAp 1,130,885]	flgN // flgM // flgA
yoaC	[yoaC 1,893,966 &rarr; 1,894,432]	+	yoaCp1	[yoaCp1 1,893,966]	yoaC
osmY	[osmY 4,610,967 &rarr; 4,612,001]	+	osmYp	[osmYp 4,611,153]	osmY
ansA-pncA	[ansA-pncA 1,850,860 &rarr; 1,852,528]	+			pncA // ansA
gspAB	[gspAB 3,453,508 &larr; 3,455,519]	-	gspAp1	[gspAp1 3,455,519]	gspB // gspA
dctA	[dctA 3,682,161 &larr; 3,683,498]	-	dctAp	[dctAp 3,683,498]	dctA
yjgA	[yjgA 4,457,314 &larr; 4,457,865]	-			yjgA
metG	[metG 2,193,758 &rarr; 2,196,366]	+	metGp2	[metGp2 2,193,758]	metG
yphH	[yphH 2,682,863 &rarr; 2,684,056]	+			yphH
yfcZ	[yfcZ 2,460,650 &larr; 2,460,979]	-	yfcZp	[yfcZp 2,460,979]	yfcZ
dkgB	[dkgB 229,098 &rarr; 229,970]	+	dkgBp	[dkgBp 229,098]	dkgB
rnlB	[rnlB 2,766,860 &rarr; 2,767,355]	+	rnlBp2	[rnlBp2 2,766,860]	rnlB
yjjY	[yjjY 4,640,402 &rarr; 4,640,542]	+			yjjY
ybcN-ninE-ybcO-rusA-ylcG	[ybcN-ninE-ybcO-rusA-ylcG 572,466 &rarr; 573,870]	+			ylcG // rusA // ybcO // ninE // ybcN
folE-yeiB	[folE-yeiB 2,241,810 &larr; 2,243,848]	-	folEp	[folEp 2,243,848]	folE // yeiB
lptB-rpoN-hpf-ptsN-yhbJ	[lptB-rpoN-hpf-ptsN-yhbJ 3,343,396 &rarr; 3,347,969]	+	lptBp	[lptBp 3,343,396]	rapZ // ptsN // hpf // rpoN // lptB
csgDEFG	[csgDEFG 1,100,851 &larr; 1,103,344]	-	csgDp3	[csgDp3 1,103,344]	csgG // csgF // csgE // csgD
actP	[actP 4,283,253 &larr; 4,284,935]	-	actPp	[actPp 4,284,935]	actP
bacA	[bacA 3,203,310 &larr; 3,204,175]	-	bacAp	[bacAp 3,204,175]	bacA
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	[yafY-ykfBF-yafX-ykfGH-yafW-ykfI 263,328 &larr; 266,553]	-			yafY // ykfB // ykfF // yafX // ykfG // ykfH // yafW // ykfI
ftnA	[ftnA 1,988,682 &rarr; 1,989,213]	+	ftnAp	[ftnAp 1,988,682]	ftnA
rna	[rna 644,197 &larr; 645,034]	-	rnap	[rnap 645,034]	rna
bhsA	[bhsA 1,169,033 &rarr; 1,169,330]	+	bhsAp	[bhsAp 1,169,033]	bhsA
yaiI	[yaiI 405,764 &rarr; 406,222]	+			yaiI
yphCB	[yphCB 2,673,816 &larr; 2,675,761]	-			yphC // yphB
rhsD-ybbC-ylbH-ybbD	[rhsD-ybbC-ylbH-ybbD 523,261 &rarr; 529,130]	+			ybbD // ylbH // ybbC // rhsD
rlmM	[rlmM 2,940,143 &larr; 2,941,243]	-			rlmM
aceEF	[aceEF 122,969 &rarr; 127,619]	+	aceEp1	[aceEp1 122,969]	aceF // aceE
srkA-dsbA	[srkA-dsbA 4,042,342 &rarr; 4,044,044]	+	srkAp	[srkAp 4,042,391]	dsbA // srkA
grxA	[grxA 890,496 &larr; 890,776]	-	grxAp	[grxAp 890,776]	grxA
sdiA	[sdiA 1,996,110 &larr; 1,996,867]	-	sdiAp3	[sdiAp3 1,996,867]	sdiA
lysC	[lysC 4,231,884 &larr; 4,233,539]	-	lysCp1	[lysCp1 4,233,539]	lysC
mokB	[mokB 1,491,962 &larr; 1,492,129]	-			mokB
ypjA	[ypjA 2,778,146 &larr; 2,782,726]	-			ypjA
phoQ	[phoQ 1,188,316 &larr; 1,189,940]	-	phoQp5	[phoQp5 1,189,940]	phoQ
putP	[putP 1,079,168 &rarr; 1,080,838]	+	putPp1	[putPp1 1,079,168]	putP
paaZ	[paaZ 1,451,597 &larr; 1,453,670]	-	paaZp	[paaZp 1,453,670]	paaZ
fes-ybdZ-entF-fepE	[fes-ybdZ-entF-fepE 612,543 &rarr; 619,387]	+	fesp	[fesp 612,687]	ybdZ // fes // entF // fepE
symE	[symE 4,579,499 &larr; 4,579,917]	-	symEp	[symEp 4,579,917]	symE
xerD-dsbC-recJ	[xerD-dsbC-recJ 3,036,373 &larr; 3,039,851]	-	xerDp2	[xerDp2 3,039,851]	recJ // dsbC // xerD
paaJ	[paaJ 1,460,801 &rarr; 1,462,098]	+	paaJp1	[paaJp1 1,460,801]	paaJ
yheSTU	[yheSTU 3,481,289 &rarr; 3,484,436]	+			yheU // yheT // yheS
arnBCADTEF	[arnBCADTEF 2,365,910 &rarr; 2,373,278]	+			arnF // arnE // arnT // arnD // arnA // arnC // arnB
dolP	[dolP 3,296,349 &rarr; 3,296,984]	+	dolPp1	[dolPp1 3,296,349]	dolP
slyD	[slyD 3,477,907 &larr; 3,478,497]	-			slyD
yiaB	[yiaB 3,727,407 &larr; 3,727,748]	-			yiaB
sfmCD	[sfmCD 558,974 &rarr; 562,300]	+			sfmD // sfmC
uof-fur	[uof-fur 710,118 &larr; 710,829]	-	uofp	[uofp 710,829]	uof // fur
groL	[groL 4,370,873 &rarr; 4,372,671]	+	groLp2	[groLp2 4,370,873]	groL
yraH	[yraH 3,287,426 &rarr; 3,288,010]	+			yraH
ubiEJB	[ubiEJB 4,018,855 &rarr; 4,021,866]	+			ubiB // ubiJ // ubiE
wcaKLM	[wcaKLM 2,114,502 &larr; 2,118,404]	-			wcaK // wcaL // wcaM
cysG	[cysG 3,497,754 &rarr; 3,499,201]	+	cysGp1	[cysGp1 3,497,754]	cysG
sdsR	[sdsR 1,923,104 &larr; 1,923,207]	-	sdsRp	[sdsRp 1,923,207]	sdsR
rspA-rspB	[rspA-rspB 1,652,896 &larr; 1,655,171]	-	rspAp	[rspAp 1,655,171]	rspA // rspB
topA	[topA 1,330,848 &rarr; 1,333,645]	+	topAp3	[topAp3 1,330,848]	topA
yjeFE-amiB-mutL-miaA-hfq-hflXKC	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,394,035 &rarr; 4,404,304]	+	yjeFp3	[yjeFp3 4,394,035]	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr
mppA	[mppA 1,393,227 &rarr; 1,394,840]	+			mppA
grcA	[grcA 2,716,066 &larr; 2,716,523]	-	grcAp1	[grcAp1 2,716,523]	grcA
astCADBE	[astCADBE 1,825,955 &larr; 1,832,013]	-	astCp1	[astCp1 1,832,013]	astE // astB // astD // astA // astC
cdaR	[cdaR 182,447 &rarr; 183,620]	+	cdaRp	[cdaRp 182,447]	cdaR
pnp	[pnp 3,308,999 &larr; 3,311,326]	-	pnpp	[pnpp 3,311,326]	pnp
ucpA	[ucpA 2,543,832 &larr; 2,544,671]	-	ucpAp2	[ucpAp2 2,544,671]	ucpA
mtfA	[mtfA 2,043,651 &rarr; 2,044,448]	+			mtfA
ybiN	[ybiN 842,332 &rarr; 843,258]	+			rlmF
stfR-tfaR	[stfR-tfaR 1,428,796 &rarr; 1,432,986]	+			tfaR // stfR
yhhI	[yhhI 3,624,378 &rarr; 3,625,514]	+			yhhI
isrC-flu	[isrC-flu 2,071,317 &rarr; 2,074,658]	+	flup	[flup 2,071,317]	isrC // flu
nanCMS	[nanCMS 4,536,614 &larr; 4,539,928]	-	nanCp	[nanCp 4,539,928]	nanS // nanM // nanC
ybdK	[ybdK 606,265 &larr; 607,383]	-			ybdK
yeaO	[yeaO 1,876,909 &rarr; 1,877,256]	+			yeaO
dsbD-yjdC	[dsbD-yjdC 4,362,733 &larr; 4,365,042]	-			dsbD // dicD
rfaYZ	[rfaYZ 3,799,345 &larr; 3,801,136]	-	waaYp	[waaYp 3,801,136]	waaZ // waaY
clpPX	[clpPX 456,605 &rarr; 458,755]	+	clpPp3	[clpPp3 456,605]	clpX // clpP
clpPX	[clpPX 456,577 &rarr; 458,755]	+	clpPp1	[clpPp1 456,577]	clpP // clpX
mutY-yggX	[mutY-yggX 3,102,911 &rarr; 3,104,368]	+	mutYp2	[mutYp2 3,102,911]	yggX // mutY
caiF	[caiF 34,162 &rarr; 34,695]	+	caiFp	[caiFp 34,218]	caiF
rluE-nudJ	[rluE-nudJ 1,193,827 &larr; 1,194,951]	-			rluE // nudJ
yjbD	[yjbD 4,231,359 &larr; 4,231,631]	-			yjbD
ygeF	[ygeF 2,990,554 &rarr; 2,991,043]	+			ygeF
sbp	[sbp 4,108,834 &rarr; 4,109,884]	+			sbp
yfhH	[yfhH 2,698,759 &rarr; 2,699,607]	+			yfhH
yceB	[yceB 1,122,675 &larr; 1,123,273]	-			yceB
asmA	[asmA 2,139,759 &larr; 2,141,612]	-			asmA
fucO	[fucO 2,931,865 &larr; 2,933,223]	-	fucOp	[fucOp 2,933,223]	fucO
ibsC	[ibsC 3,056,890 &larr; 3,057,009]	-	ibsCp	[ibsCp 3,057,009]	ibsC
ygfB-pepP-ubiHI	[ygfB-pepP-ubiHI 3,051,048 &larr; 3,055,473]	-	ygfBp	[ygfBp 3,055,473]	ygfB // pepP // ubiH // ubiI
ttdABT	[ttdABT 3,206,424 &rarr; 3,209,487]	+	ttdAp	[ttdAp 3,206,424]	ttdT // ttdA // ttdB
yjeT	[yjeT 4,404,386 &rarr; 4,404,583]	+			yjeT
yihUTS	[yihUTS 4,070,515 &larr; 4,073,586]	-	yihUp1	[yihUp1 4,073,586]	yihU // yihT // yihS
galETKM	[galETKM 787,689 &larr; 792,081]	-	galEp	[galEp 792,081]	galM // galK // galT // galE
serC	[serC 957,461 &rarr; 958,741]	+	serCp1	[serCp1 957,595]	serC
pfkA	[pfkA 4,107,438 &rarr; 4,108,732]	+	pfkAp	[pfkAp 4,107,474]	pfkA
fliE	[fliE 2,012,700 &larr; 2,013,093]	-	fliEp2	[fliEp2 2,013,093]	fliE
fliE	[fliE 2,012,700 &larr; 2,013,036]	-	fliEp1	[fliEp1 2,013,036]	fliE
mngB	[mngB 767,795 &rarr; 770,611]	+	mngBp2	[mngBp2 767,795]	mngB
yrfG-hslR	[yrfG-hslR 3,528,639 &rarr; 3,529,749]	+	yrfGp	[yrfGp NIL &rarr; NIL]	hslR // yrfG
prpR	[prpR 346,857 &larr; 348,471]	-	prpRp	[prpRp 348,471]	prpR
potABCD	[potABCD 1,181,783 &larr; 1,185,594]	-			potD // potC // potB // potA
selD-topB	[selD-topB 1,844,932 &larr; 1,848,024]	-	selDp1	[selDp1 1,848,024]	topB // selD
speAB	[speAB 3,082,877 &larr; 3,086,048]	-	speAp	[speAp 3,086,048]	speB // speA
zntA	[zntA 3,606,397 &rarr; 3,608,649]	+	zntAp	[zntAp 3,606,422]	zntA
ycaR-kdsB	[ycaR-kdsB 970,642 &rarr; 971,598]	+	ycaRp	[ycaRp 970,642]	kdsB // ycaR
yagN	[yagN 295,139 &larr; 295,579]	-			yagN
pstB-phoU	[pstB-phoU 3,906,853 &larr; 3,908,556]	-	pstBp1	[pstBp1 3,908,556]	phoU // pstB
feaR	[feaR 1,446,378 &larr; 1,447,367]	-	feaRp	[feaRp 1,447,367]	feaR
bioH	[bioH 3,544,074 &larr; 3,544,858]	-	bioHp	[bioHp 3,544,858]	bioH
rhsA-yibA	[rhsA-yibA 3,762,183 &rarr; 3,767,179]	+			yibA // rhsA
glrR-glnB	[glrR-glnB 2,687,070 &larr; 2,688,803]	-			glnB // glrR
putA	[putA 1,074,920 &larr; 1,078,925]	-	putAp	[putAp 1,078,925]	putA
yjdF	[yjdF 4,344,929 &larr; 4,345,558]	-			yjdF
ssrS-ygfA	[ssrS-ygfA 3,055,974 &rarr; 3,056,789]	+	ssrSp1	[ssrSp1 3,055,974]	fau // ssrS
trmC	[trmC 2,441,764 &rarr; 2,443,770]	+			mnmC
rnd	[rnd 1,886,864 &larr; 1,888,061]	-	rndp	[rndp 1,888,061]	rnd
tolB-pal-ybgF	[tolB-pal-ybgF 777,740 &rarr; 780,389]	+			cpoB // pal // tolB
ribC	[ribC 1,742,601 &larr; 1,743,242]	-			ribC
yfiC	[yfiC 2,712,027 &larr; 2,712,764]	-			yfiC
bamB-der	[bamB-der 2,635,884 &larr; 2,638,975]	-	bamBp	[bamBp 2,638,975]	der // bamB
ygiW	[ygiW 3,169,284 &larr; 3,169,676]	-			ygiW
betT	[betT 329,391 &rarr; 331,496]	+	betTp	[betTp 329,421]	betT
smrB	[smrB 2,448,606 &rarr; 2,449,157]	+			smrB
sibD	[sibD 3,194,721 &larr; 3,194,865]	-	sibDp	[sibDp 3,194,865]	sibD
putP	[putP 1,079,179 &rarr; 1,080,838]	+	putPp2	[putPp2 1,079,179]	putP
frr	[frr 192,814 &rarr; 193,498]	+	frrp	[frrp 192,814]	frr
agrA	[agrA 3,648,063 &rarr; 3,648,144]	+	agrAp	[agrAp 3,648,063]	agrA
proQ-prc	[proQ-prc 1,912,768 &larr; 1,915,534]	-			proQ // prc
rsd	[rsd 4,196,332 &larr; 4,196,859]	-	rsdp2	[rsdp2 4,196,859]	rsd
yjhIHG	[yjhIHG 4,522,127 &larr; 4,525,888]	-	yjhIp	[yjhIp 4,525,888]	yjhI // yjhH // yjhG
kdpFABC	[kdpFABC 724,407 &larr; 728,849]	-	kdpFp	[kdpFp 728,849]	kdpF // kdpC // kdpB // kdpA
insA3B3AB3	[insA3B3AB3 290,649 &larr; 291,346]	-			insA3 // insB3 // insAB3
ybdO	[ybdO 636,716 &larr; 637,618]	-			citR
ycaC	[ycaC 944,931 &larr; 945,557]	-			ycaC
dnaAN-recF	[dnaAN-recF 3,880,148 &larr; 3,883,882]	-	dnaAp2	[dnaAp2 3,883,882]	recF // dnaN // dnaA
rfaDFCL	[rfaDFCL 3,793,939 &rarr; 3,798,207]	+	rfaDp1	[rfaDp1 3,793,939]	waaL // waaC // waaF // rfaD
manXYZ-yobD	[manXYZ-yobD 1,902,048 &rarr; 1,905,259]	+			yobD // manZ // manY // manX
cusRS	[cusRS 593,328 &larr; 595,462]	-	cusRp	[cusRp 595,462]	cusS // cusR
yqgB	[yqgB 3,085,920 &larr; 3,086,051]	-			yqgB
ydeTSR	[ydeTSR 1,587,793 &larr; 1,590,001]	-			ydeT // ydeS // ydeR
yeaL	[yeaL 1,874,323 &rarr; 1,874,798]	+	yeaLp	[yeaLp 1,874,323]	yeaL
ytfB	[ytfB 4,428,079 &larr; 4,428,819]	-	ytfBp	[ytfBp 4,428,819]	ytfB
cobUST	[cobUST 2,063,388 &larr; 2,065,874]	-	cobUp1	[cobUp1 2,065,874]	cobT // cobS // cobU
ybeD-lipB	[ybeD-lipB 661,637 &larr; 662,706]	-	ybeDp	[ybeDp 662,706]	lipB // ybeD
rpoS	[rpoS 2,866,559 &larr; 2,867,607]	-	rpoSp2	[rpoSp2 2,867,607]	rpoS
cyaR	[cyaR 2,167,114 &rarr; 2,167,200]	+	cyaRp	[cyaRp 2,167,114]	cyaR
yidE	[yidE 3,864,612 &larr; 3,866,273]	-			yidE
yebG	[yebG 1,930,457 &larr; 1,930,765]	-	yebGp	[yebGp 1,930,765]	yebG
